tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Atletico Goianiense,0.0,0.0,Goias,17.0,5.0,108.0,69.0,17.0,12.0,23:00:00,2022-06-22,0.0,0.0,DRAW,DRAW,22.0
Copa do Brasil,Bragantino,0.0,1.0,Goias,12.0,4.0,131.0,102.0,18.0,7.0,01:30:00,2022-06-01,-1.0,1.0,LOST,WON,16.0
Copa do Brasil,Brasiliense,0.0,1.0,Atletico Mineiro,3.0,3.0,87.0,137.0,1.0,9.0,23:00:00,2022-05-22,-1.0,1.0,LOST,WON,6.0
Copa do Brasil,Santos,3.0,0.0,Coritiba,4.0,2.0,130.0,99.0,19.0,6.0,01:30:00,2022-05-13,3.0,-3.0,WON,LOST,6.0
Copa do Brasil,Botafogo RJ,3.0,0.0,Ceilandia,1.0,0.0,168.0,90.0,10.0,8.0,01:30:00,2022-05-13,3.0,-3.0,WON,LOST,1.0
Copa do Brasil,Cruzeiro,1.0,0.0,Clube Do Remo,7.0,0.0,136.0,93.0,20.0,4.0,23:30:00,2022-05-12,1.0,-1.0,WON,LOST,7.0
Copa do Brasil,Sao Paulo,2.0,0.0,EC Juventude,5.0,4.0,96.0,99.0,9.0,10.0,23:30:00,2022-05-12,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Vitoria EC,0.0,1.0,Fortaleza FC,2.0,4.0,101.0,139.0,12.0,12.0,23:00:00,2022-05-12,-1.0,1.0,LOST,WON,6.0
Copa do Brasil,Cuiaba,0.0,0.0,Atletico Goianiense,0.0,8.0,76.0,92.0,1.0,8.0,02:00:00,2022-05-12,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Vila Nova,0.0,2.0,Fluminense,3.0,4.0,85.0,58.0,19.0,7.0,01:30:00,2022-05-12,-2.0,2.0,LOST,WON,7.0
Copa do Brasil,Corinthians,2.0,0.0,Portuguesa RJ,6.0,2.0,140.0,90.0,15.0,6.0,01:30:00,2022-05-12,2.0,-2.0,WON,LOST,8.0
Copa do Brasil,Flamengo,2.0,0.0,AE Altos,5.0,3.0,109.0,96.0,9.0,9.0,23:30:00,2022-05-11,2.0,-2.0,WON,LOST,8.0
Copa do Brasil,Ceara,2.0,0.0,Tombense MG,4.0,1.0,102.0,76.0,13.0,6.0,23:00:00,2022-05-11,2.0,-2.0,WON,LOST,5.0
Copa do Brasil,Juazeirense,1.0,2.0,Palmeiras,0.0,9.0,47.0,82.0,2.0,17.0,23:00:00,2022-05-11,-1.0,1.0,LOST,WON,9.0
Copa do Brasil,Athletico Paranaense,4.0,0.0,Tocantinopolis EC,13.0,3.0,132.0,86.0,17.0,5.0,01:30:00,2022-05-11,4.0,-4.0,WON,LOST,16.0
Copa do Brasil,Azuriz FC,1.0,1.0,EC Bahia,4.0,4.0,121.0,131.0,9.0,19.0,00:30:00,2022-05-11,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,America MG,2.0,0.0,CSA,2.0,2.0,104.0,110.0,14.0,10.0,23:00:00,2022-05-10,2.0,-2.0,WON,LOST,4.0
Copa do Brasil,AE Altos,1.0,2.0,Flamengo,1.0,9.0,38.0,69.0,3.0,8.0,22:00:00,2022-05-01,-1.0,1.0,LOST,WON,10.0
Copa do Brasil,Palmeiras,2.0,1.0,Juazeirense,8.0,0.0,127.0,65.0,9.0,4.0,01:00:00,2022-05-01,1.0,-1.0,WON,LOST,8.0
Copa do Brasil,Atletico Goianiense,1.0,1.0,Cuiaba,6.0,4.0,82.0,77.0,7.0,6.0,01:30:00,2022-04-22,0.0,0.0,DRAW,DRAW,10.0
Copa do Brasil,Ceilandia,0.0,3.0,Botafogo RJ,1.0,11.0,99.0,141.0,7.0,23.0,01:30:00,2022-04-21,-3.0,3.0,LOST,WON,12.0
Copa do Brasil,Portuguesa RJ,1.0,1.0,Corinthians,4.0,4.0,66.0,87.0,8.0,14.0,01:30:00,2022-04-21,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Tombense MG,0.0,2.0,Ceara,5.0,7.0,99.0,88.0,14.0,10.0,01:30:00,2022-04-21,-2.0,2.0,LOST,WON,12.0
Copa do Brasil,Coritiba,1.0,0.0,Santos,9.0,5.0,92.0,111.0,16.0,2.0,23:30:00,2022-04-20,1.0,-1.0,WON,LOST,14.0
